Amounts Effective from April to June 2024 / Montants en vigueur d'avril à juin 2024,,,,
Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Total Monthly GIS (for a person receiving the full OAS Pension) ($),Combined Monthly OAS Pension and GIS (age 65 to 74) ($),Combined Monthly OAS Pension and GIS (age 75 and over) ($)
Revenu annuel du couple (excluant la pension de la SV et le SRG) De ($),Revenu annuel du couple (excluant la pension de la SV et le SRG) À ($),Total mensuel pour le SRG (pour une personne recevant la pleine pension de la SV) ($),Total mensuel de la pension de la SV et du SRG (65 à 74 ans) ($),Total mensuel de la pension de la SV et du SRG (75 ans et plus) ($)
13344,13391.99,316.59,1029.93,1101.26
13392,13439.99,315.59,1028.93,1100.26
13440,13487.99,314.59,1027.93,1099.26
13488,13535.99,313.59,1026.93,1098.26
13536,13583.99,312.59,1025.93,1097.26
13584,13631.99,311.59,1024.93,1096.26
13632,13679.99,310.59,1023.93,1095.26
13680,13727.99,309.59,1022.93,1094.26
13728,13775.99,308.59,1021.93,1093.26
13776,13823.99,307.59,1020.93,1092.26
13824,13871.99,306.59,1019.93,1091.26
13872,13919.99,305.59,1018.93,1090.26
13920,13967.99,304.59,1017.93,1089.26
13968,14015.99,303.59,1016.93,1088.26
14016,14063.99,302.59,1015.93,1087.26
14064,14111.99,301.59,1014.93,1086.26
14112,14159.99,300.59,1013.93,1085.26
14160,14207.99,299.59,1012.93,1084.26
14208,14255.99,298.59,1011.93,1083.26
14256,14303.99,297.59,1010.93,1082.26
14304,14351.99,296.59,1009.93,1081.26
14352,14399.99,295.59,1008.93,1080.26
14400,14447.99,294.59,1007.93,1079.26
14448,14495.99,293.59,1006.93,1078.26
14496,14543.99,292.59,1005.93,1077.26
14544,14591.99,291.59,1004.93,1076.26
14592,14639.99,290.59,1003.93,1075.26
14640,14687.99,289.59,1002.93,1074.26
14688,14735.99,288.59,1001.93,1073.26
14736,14783.99,287.59,1000.93,1072.26
14784,14831.99,286.59,999.93,1071.26
14832,14879.99,285.59,998.93,1070.26
