Amounts Effective from April to June 2024 / Montants en vigueur d'avril à juin 2024,,,,
Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Total Monthly GIS (for a person receiving the full OAS Pension) ($),Combined Monthly OAS Pension and GIS (age 65 to 74) ($),Combined Monthly OAS Pension and GIS (age 75 and over) ($)
Revenu annuel du couple (excluant la pension de la SV et le SRG) De ($),Revenu annuel du couple (excluant la pension de la SV et le SRG) À ($),Total mensuel pour le SRG (pour une personne recevant la pleine pension de la SV) ($),Total mensuel de la pension de la SV et du SRG (65 à 74 ans) ($),Total mensuel de la pension de la SV et du SRG (75 ans et plus) ($)
12096,12143.99,908.47,1621.81,1693.14
12144,12159.99,907.47,1620.81,1692.14
12160,12191.99,906.47,1619.81,1691.14
12192,12239.99,905.47,1618.81,1690.14
12240,12255.99,904.47,1617.81,1689.14
12256,12287.99,903.47,1616.81,1688.14
12288,12335.99,902.47,1615.81,1687.14
12336,12351.99,901.47,1614.81,1686.14
12352,12383.99,900.47,1613.81,1685.14
12384,12431.99,899.47,1612.81,1684.14
12432,12447.99,898.47,1611.81,1683.14
12448,12479.99,897.47,1610.81,1682.14
12480,12527.99,896.47,1609.81,1681.14
12528,12543.99,895.47,1608.81,1680.14
12544,12575.99,894.47,1607.81,1679.14
12576,12623.99,893.47,1606.81,1678.14
12624,12639.99,892.47,1605.81,1677.14
12640,12671.99,891.47,1604.81,1676.14
12672,12719.99,890.47,1603.81,1675.14
12720,12735.99,889.47,1602.81,1674.14
12736,12767.99,888.47,1601.81,1673.14
12768,12815.99,887.47,1600.81,1672.14
12816,12831.99,886.47,1599.81,1671.14
12832,12863.99,885.47,1598.81,1670.14
12864,12911.99,884.47,1597.81,1669.14
12912,12927.99,883.47,1596.81,1668.14
12928,12959.99,882.47,1595.81,1667.14
12960,13007.99,881.47,1594.81,1666.14
13008,13023.99,880.47,1593.81,1665.14
13024,13055.99,879.47,1592.81,1664.14
13056,13103.99,878.47,1591.81,1663.14
13104,13119.99,877.47,1590.81,1662.14
13120,13151.99,876.47,1589.81,1661.14
13152,13199.99,875.47,1588.81,1660.14
13200,13215.99,874.47,1587.81,1659.14
13216,13247.99,873.47,1586.81,1658.14
13248,13295.99,872.47,1585.81,1657.14
13296,13311.99,871.47,1584.81,1656.14
13312,13343.99,870.47,1583.81,1655.14
13344,13391.99,869.47,1582.81,1654.14
