Amounts Effective from April to June 2024 / Montants en vigueur d'avril à juin 2024,,,,
Yearly Income (excluding OAS Pension and GIS) From,Yearly Income (excluding OAS Pension and GIS) To,Total Monthly GIS (for a person receiving the full OAS Pension) ($),Combined Monthly OAS Pension and GIS (age 65 to 74) ($),Combined Monthly OAS Pension and GIS (age 75 and over) ($)
Revenu annuel (excluant la pension de la SV et le SRG) De,Revenu annuel (excluant la pension de la SV et le SRG) À,Total mensuel pour le SRG (pour une personne recevant la pleine pension de la SV) ($),Total mensuel de la pension de la SV et du SRG (65 à 74 ans) ($),Total mensuel de la pension de la SV et du SRG (75 ans et plus) ($)
3344,3359.99,898.47,1611.81,1683.14
3360,3383.99,897.47,1610.81,1682.14
3384,3391.99,896.47,1609.81,1681.14
3392,3407.99,895.47,1608.81,1680.14
3408,3431.99,894.47,1607.81,1679.14
3432,3439.99,893.47,1606.81,1678.14
3440,3455.99,892.47,1605.81,1677.14
3456,3479.99,891.47,1604.81,1676.14
3480,3487.99,890.47,1603.81,1675.14
3488,3503.99,889.47,1602.81,1674.14
3504,3527.99,888.47,1601.81,1673.14
3528,3535.99,887.47,1600.81,1672.14
3536,3551.99,886.47,1599.81,1671.14
3552,3575.99,885.47,1598.81,1670.14
3576,3583.99,884.47,1597.81,1669.14
3584,3599.99,883.47,1596.81,1668.14
3600,3623.99,882.47,1595.81,1667.14
3624,3631.99,881.47,1594.81,1666.14
3632,3647.99,880.47,1593.81,1665.14
3648,3671.99,879.47,1592.81,1664.14
3672,3679.99,878.47,1591.81,1663.14
3680,3695.99,877.47,1590.81,1662.14
3696,3719.99,876.47,1589.81,1661.14
3720,3727.99,875.47,1588.81,1660.14
3728,3743.99,874.47,1587.81,1659.14
3744,3767.99,873.47,1586.81,1658.14
3768,3775.99,872.47,1585.81,1657.14
3776,3791.99,871.47,1584.81,1656.14
3792,3815.99,870.47,1583.81,1655.14
3816,3823.99,869.47,1582.81,1654.14
3824,3839.99,868.47,1581.81,1653.14
3840,3863.99,867.47,1580.81,1652.14
3864,3871.99,866.47,1579.81,1651.14
3872,3887.99,865.47,1578.81,1650.14
3888,3911.99,864.47,1577.81,1649.14
3912,3919.99,863.47,1576.81,1648.14
3920,3935.99,862.47,1575.81,1647.14
3936,3959.99,861.47,1574.81,1646.14
3960,3967.99,860.47,1573.81,1645.14
3968,3983.99,859.47,1572.81,1644.14
3984,4007.99,858.47,1571.81,1643.14
4008,4015.99,857.47,1570.81,1642.14
4016,4031.99,856.47,1569.81,1641.14
4032,4055.99,855.47,1568.81,1640.14
4056,4063.99,854.47,1567.81,1639.14
4064,4079.99,853.47,1566.81,1638.14
4080,4103.99,852.47,1565.81,1637.14
4104,4111.99,851.47,1564.81,1636.14
4112,4127.99,850.47,1563.81,1635.14
4128,4151.99,849.47,1562.81,1634.14
4152,4159.99,848.47,1561.81,1633.14
4160,4175.99,847.47,1560.81,1632.14
4176,4199.99,846.47,1559.81,1631.14
4200,4207.99,845.47,1558.81,1630.14
4208,4223.99,844.47,1557.81,1629.14
4224,4247.99,843.47,1556.81,1628.14
4248,4255.99,842.47,1555.81,1627.14
4256,4271.99,841.47,1554.81,1626.14
4272,4295.99,840.47,1553.81,1625.14
4296,4303.99,839.47,1552.81,1624.14
4304,4319.99,838.47,1551.81,1623.14
4320,4343.99,837.47,1550.81,1622.14
4344,4351.99,836.47,1549.81,1621.14
4352,4367.99,835.47,1548.81,1620.14
4368,4391.99,834.47,1547.81,1619.14
4392,4399.99,833.47,1546.81,1618.14
4400,4415.99,832.47,1545.81,1617.14
4416,4439.99,831.47,1544.81,1616.14
4440,4447.99,830.47,1543.81,1615.14
4448,4463.99,829.47,1542.81,1614.14
4464,4487.99,828.47,1541.81,1613.14
4488,4495.99,827.47,1540.81,1612.14
4496,4511.99,826.47,1539.81,1611.14
4512,4535.99,825.47,1538.81,1610.14
4536,4543.99,824.47,1537.81,1609.14
4544,4559.99,823.47,1536.81,1608.14
4560,4583.99,822.47,1535.81,1607.14
4584,4591.99,821.47,1534.81,1606.14
4592,4607.99,820.47,1533.81,1605.14
4608,4631.99,819.47,1532.81,1604.14
4632,4639.99,818.47,1531.81,1603.14
4640,4655.99,817.47,1530.81,1602.14
4656,4679.99,816.47,1529.81,1601.14
4680,4687.99,815.47,1528.81,1600.14
4688,4703.99,814.47,1527.81,1599.14
4704,4727.99,813.47,1526.81,1598.14
4728,4735.99,812.47,1525.81,1597.14
4736,4751.99,811.47,1524.81,1596.14
4752,4775.99,810.47,1523.81,1595.14
4776,4783.99,809.47,1522.81,1594.14
4784,4799.99,808.47,1521.81,1593.14
4800,4823.99,807.47,1520.81,1592.14
4824,4831.99,806.47,1519.81,1591.14
4832,4847.99,805.47,1518.81,1590.14
4848,4871.99,804.47,1517.81,1589.14
4872,4879.99,803.47,1516.81,1588.14
4880,4895.99,802.47,1515.81,1587.14
4896,4919.99,801.47,1514.81,1586.14
4920,4927.99,800.47,1513.81,1585.14
4928,4943.99,799.47,1512.81,1584.14
4944,4967.99,798.47,1511.81,1583.14
4968,4975.99,797.47,1510.81,1582.14
4976,4991.99,796.47,1509.81,1581.14
4992,5015.99,795.47,1508.81,1580.14
5016,5023.99,794.47,1507.81,1579.14
5024,5039.99,793.47,1506.81,1578.14
5040,5063.99,792.47,1505.81,1577.14
5064,5071.99,791.47,1504.81,1576.14
5072,5087.99,790.47,1503.81,1575.14
5088,5111.99,789.47,1502.81,1574.14
5112,5119.99,788.47,1501.81,1573.14
5120,5135.99,787.47,1500.81,1572.14
5136,5159.99,786.47,1499.81,1571.14
5160,5167.99,785.47,1498.81,1570.14
5168,5183.99,784.47,1497.81,1569.14
5184,5207.99,783.47,1496.81,1568.14
5208,5215.99,782.47,1495.81,1567.14
5216,5231.99,781.47,1494.81,1566.14
5232,5255.99,780.47,1493.81,1565.14
5256,5263.99,779.47,1492.81,1564.14
5264,5279.99,778.47,1491.81,1563.14
5280,5303.99,777.47,1490.81,1562.14
5304,5311.99,776.47,1489.81,1561.14
5312,5327.99,775.47,1488.81,1560.14
5328,5351.99,774.47,1487.81,1559.14
5352,5359.99,773.47,1486.81,1558.14
5360,5375.99,772.47,1485.81,1557.14
5376,5399.99,771.47,1484.81,1556.14
5400,5407.99,770.47,1483.81,1555.14
5408,5423.99,769.47,1482.81,1554.14
5424,5447.99,768.47,1481.81,1553.14
5448,5455.99,767.47,1480.81,1552.14
5456,5471.99,766.47,1479.81,1551.14
5472,5495.99,765.47,1478.81,1550.14
5496,5503.99,764.47,1477.81,1549.14
5504,5519.99,763.47,1476.81,1548.14
5520,5543.99,762.47,1475.81,1547.14
5544,5551.99,761.47,1474.81,1546.14
5552,5567.99,760.47,1473.81,1545.14
5568,5591.99,759.47,1472.81,1544.14
5592,5599.99,758.47,1471.81,1543.14
5600,5615.99,757.47,1470.81,1542.14
5616,5639.99,756.47,1469.81,1541.14
5640,5647.99,755.47,1468.81,1540.14
5648,5663.99,754.47,1467.81,1539.14
5664,5687.99,753.47,1466.81,1538.14
5688,5695.99,752.47,1465.81,1537.14
5696,5711.99,751.47,1464.81,1536.14
5712,5735.99,750.47,1463.81,1535.14
5736,5743.99,749.47,1462.81,1534.14
5744,5759.99,748.47,1461.81,1533.14
5760,5783.99,747.47,1460.81,1532.14
5784,5791.99,746.47,1459.81,1531.14
5792,5807.99,745.47,1458.81,1530.14
5808,5831.99,744.47,1457.81,1529.14
5832,5839.99,743.47,1456.81,1528.14
5840,5855.99,742.47,1455.81,1527.14
5856,5879.99,741.47,1454.81,1526.14
5880,5887.99,740.47,1453.81,1525.14
5888,5903.99,739.47,1452.81,1524.14
5904,5927.99,738.47,1451.81,1523.14
5928,5935.99,737.47,1450.81,1522.14
5936,5951.99,736.47,1449.81,1521.14
5952,5975.99,735.47,1448.81,1520.14
5976,5983.99,734.47,1447.81,1519.14
5984,5999.99,733.47,1446.81,1518.14
6000,6023.99,732.47,1445.81,1517.14
6024,6031.99,731.47,1444.81,1516.14
6032,6047.99,730.47,1443.81,1515.14
6048,6071.99,729.47,1442.81,1514.14
6072,6079.99,728.47,1441.81,1513.14
6080,6095.99,727.47,1440.81,1512.14
6096,6119.99,726.47,1439.81,1511.14
6120,6127.99,725.47,1438.81,1510.14
6128,6143.99,724.47,1437.81,1509.14
6144,6167.99,723.47,1436.81,1508.14
6168,6175.99,722.47,1435.81,1507.14
6176,6191.99,721.47,1434.81,1506.14
6192,6215.99,720.47,1433.81,1505.14
6216,6223.99,719.47,1432.81,1504.14
6224,6239.99,718.47,1431.81,1503.14
6240,6263.99,717.47,1430.81,1502.14
6264,6271.99,716.47,1429.81,1501.14
6272,6287.99,715.47,1428.81,1500.14
6288,6311.99,714.47,1427.81,1499.14
6312,6319.99,713.47,1426.81,1498.14
6320,6335.99,712.47,1425.81,1497.14
6336,6359.99,711.47,1424.81,1496.14
6360,6367.99,710.47,1423.81,1495.14
6368,6383.99,709.47,1422.81,1494.14
6384,6407.99,708.47,1421.81,1493.14
6408,6415.99,707.47,1420.81,1492.14
6416,6431.99,706.47,1419.81,1491.14
6432,6455.99,705.47,1418.81,1490.14
6456,6463.99,704.47,1417.81,1489.14
6464,6479.99,703.47,1416.81,1488.14
6480,6503.99,702.47,1415.81,1487.14
6504,6511.99,701.47,1414.81,1486.14
6512,6527.99,700.47,1413.81,1485.14
6528,6551.99,699.47,1412.81,1484.14
6552,6559.99,698.47,1411.81,1483.14
6560,6575.99,697.47,1410.81,1482.14
6576,6599.99,696.47,1409.81,1481.14
6600,6607.99,695.47,1408.81,1480.14
6608,6623.99,694.47,1407.81,1479.14
6624,6647.99,693.47,1406.81,1478.14
6648,6655.99,692.47,1405.81,1477.14
6656,6671.99,691.47,1404.81,1476.14
6672,6695.99,690.47,1403.81,1475.14
6696,6703.99,689.47,1402.81,1474.14
6704,6719.99,688.47,1401.81,1473.14
6720,6743.99,687.47,1400.81,1472.14
6744,6751.99,686.47,1399.81,1471.14
6752,6767.99,685.47,1398.81,1470.14
6768,6791.99,684.47,1397.81,1469.14
6792,6799.99,683.47,1396.81,1468.14
6800,6815.99,682.47,1395.81,1467.14
6816,6839.99,681.47,1394.81,1466.14
6840,6847.99,680.47,1393.81,1465.14
6848,6863.99,679.47,1392.81,1464.14
6864,6887.99,678.47,1391.81,1463.14
6888,6895.99,677.47,1390.81,1462.14
6896,6911.99,676.47,1389.81,1461.14
6912,6935.99,675.47,1388.81,1460.14
6936,6943.99,674.47,1387.81,1459.14
6944,6959.99,673.47,1386.81,1458.14
6960,6983.99,672.47,1385.81,1457.14
6984,6991.99,671.47,1384.81,1456.14
6992,7007.99,670.47,1383.81,1455.14
7008,7031.99,669.47,1382.81,1454.14
7032,7039.99,668.47,1381.81,1453.14
7040,7055.99,667.47,1380.81,1452.14
7056,7079.99,666.47,1379.81,1451.14
7080,7087.99,665.47,1378.81,1450.14
7088,7103.99,664.47,1377.81,1449.14
7104,7127.99,663.47,1376.81,1448.14
7128,7135.99,662.47,1375.81,1447.14
7136,7151.99,661.47,1374.81,1446.14
7152,7175.99,660.47,1373.81,1445.14
7176,7183.99,659.47,1372.81,1444.14
7184,7199.99,658.47,1371.81,1443.14
7200,7223.99,657.47,1370.81,1442.14
7224,7231.99,656.47,1369.81,1441.14
7232,7247.99,655.47,1368.81,1440.14
7248,7271.99,654.47,1367.81,1439.14
7272,7279.99,653.47,1366.81,1438.14
7280,7295.99,652.47,1365.81,1437.14
7296,7319.99,651.47,1364.81,1436.14
7320,7327.99,650.47,1363.81,1435.14
7328,7343.99,649.47,1362.81,1434.14
7344,7367.99,648.47,1361.81,1433.14
7368,7375.99,647.47,1360.81,1432.14
7376,7391.99,646.47,1359.81,1431.14
7392,7415.99,645.47,1358.81,1430.14
7416,7423.99,644.47,1357.81,1429.14
7424,7439.99,643.47,1356.81,1428.14
7440,7463.99,642.47,1355.81,1427.14
7464,7471.99,641.47,1354.81,1426.14
7472,7487.99,640.47,1353.81,1425.14
7488,7511.99,639.47,1352.81,1424.14
7512,7519.99,638.47,1351.81,1423.14
7520,7535.99,637.47,1350.81,1422.14
7536,7559.99,636.47,1349.81,1421.14
7560,7567.99,635.47,1348.81,1420.14
7568,7583.99,634.47,1347.81,1419.14
7584,7607.99,633.47,1346.81,1418.14
7608,7615.99,632.47,1345.81,1417.14
7616,7631.99,631.47,1344.81,1416.14
7632,7655.99,630.47,1343.81,1415.14
7656,7663.99,629.47,1342.81,1414.14
7664,7679.99,628.47,1341.81,1413.14
7680,7703.99,627.47,1340.81,1412.14
7704,7711.99,626.47,1339.81,1411.14
7712,7727.99,625.47,1338.81,1410.14
7728,7751.99,624.47,1337.81,1409.14
7752,7759.99,623.47,1336.81,1408.14
7760,7775.99,622.47,1335.81,1407.14
7776,7799.99,621.47,1334.81,1406.14
7800,7807.99,620.47,1333.81,1405.14
7808,7823.99,619.47,1332.81,1404.14
7824,7847.99,618.47,1331.81,1403.14
7848,7855.99,617.47,1330.81,1402.14
7856,7871.99,616.47,1329.81,1401.14
7872,7895.99,615.47,1328.81,1400.14
7896,7903.99,614.47,1327.81,1399.14
7904,7919.99,613.47,1326.81,1398.14
7920,7943.99,612.47,1325.81,1397.14
7944,7951.99,611.47,1324.81,1396.14
7952,7967.99,610.47,1323.81,1395.14
7968,7991.99,609.47,1322.81,1394.14
7992,7999.99,608.47,1321.81,1393.14
8000,8015.99,607.47,1320.81,1392.14
8016,8039.99,606.47,1319.81,1391.14
8040,8047.99,605.47,1318.81,1390.14
8048,8063.99,604.47,1317.81,1389.14
8064,8087.99,603.47,1316.81,1388.14
8088,8095.99,602.47,1315.81,1387.14
8096,8111.99,601.47,1314.81,1386.14
8112,8135.99,600.47,1313.81,1385.14
8136,8143.99,599.47,1312.81,1384.14
8144,8159.99,598.47,1311.81,1383.14
8160,8183.99,597.47,1310.81,1382.14
8184,8191.99,596.47,1309.81,1381.14
8192,8207.99,595.47,1308.81,1380.14
8208,8231.99,594.47,1307.81,1379.14
8232,8239.99,593.47,1306.81,1378.14
8240,8255.99,592.47,1305.81,1377.14
8256,8279.99,591.47,1304.81,1376.14
8280,8287.99,590.47,1303.81,1375.14
8288,8303.99,589.47,1302.81,1374.14
8304,8327.99,588.47,1301.81,1373.14
8328,8335.99,587.47,1300.81,1372.14
8336,8351.99,586.47,1299.81,1371.14
8352,8375.99,585.47,1298.81,1370.14
8376,8383.99,584.47,1297.81,1369.14
8384,8399.99,583.47,1296.81,1368.14
8400,8423.99,582.47,1295.81,1367.14
8424,8431.99,581.47,1294.81,1366.14
8432,8447.99,580.47,1293.81,1365.14
8448,8471.99,579.47,1292.81,1364.14
8472,8479.99,578.47,1291.81,1363.14
8480,8495.99,577.47,1290.81,1362.14
8496,8519.99,576.47,1289.81,1361.14
8520,8527.99,575.47,1288.81,1360.14
8528,8543.99,574.47,1287.81,1359.14
8544,8567.99,573.47,1286.81,1358.14
8568,8575.99,572.47,1285.81,1357.14
8576,8591.99,571.47,1284.81,1356.14
8592,8615.99,570.47,1283.81,1355.14
8616,8623.99,569.47,1282.81,1354.14
8624,8639.99,568.47,1281.81,1353.14
8640,8663.99,567.47,1280.81,1352.14
8664,8671.99,566.47,1279.81,1351.14
8672,8687.99,565.47,1278.81,1350.14
8688,8711.99,564.47,1277.81,1349.14
8712,8719.99,563.47,1276.81,1348.14
8720,8735.99,562.47,1275.81,1347.14
8736,8759.99,561.47,1274.81,1346.14
8760,8767.99,560.47,1273.81,1345.14
8768,8783.99,559.47,1272.81,1344.14
8784,8807.99,558.47,1271.81,1343.14
8808,8815.99,557.47,1270.81,1342.14
8816,8831.99,556.47,1269.81,1341.14
8832,8855.99,555.47,1268.81,1340.14
8856,8863.99,554.47,1267.81,1339.14
8864,8879.99,553.47,1266.81,1338.14
8880,8903.99,552.47,1265.81,1337.14
8904,8911.99,551.47,1264.81,1336.14
8912,8927.99,550.47,1263.81,1335.14
8928,8951.99,549.47,1262.81,1334.14
8952,8959.99,548.47,1261.81,1333.14
8960,8975.99,547.47,1260.81,1332.14
8976,8999.99,546.47,1259.81,1331.14
9000,9007.99,545.47,1258.81,1330.14
9008,9023.99,544.47,1257.81,1329.14
9024,9047.99,543.47,1256.81,1328.14
9048,9055.99,542.47,1255.81,1327.14
9056,9071.99,541.47,1254.81,1326.14
9072,9095.99,540.47,1253.81,1325.14
9096,9103.99,539.47,1252.81,1324.14
9104,9119.99,538.47,1251.81,1323.14
9120,9143.99,537.47,1250.81,1322.14
9144,9151.99,536.47,1249.81,1321.14
9152,9167.99,535.47,1248.81,1320.14
9168,9191.99,534.47,1247.81,1319.14
9192,9199.99,533.47,1246.81,1318.14
9200,9215.99,532.47,1245.81,1317.14
9216,9239.99,531.47,1244.81,1316.14
9240,9247.99,530.47,1243.81,1315.14
9248,9263.99,529.47,1242.81,1314.14
9264,9287.99,528.47,1241.81,1313.14
9288,9295.99,527.47,1240.81,1312.14
9296,9311.99,526.47,1239.81,1311.14
9312,9335.99,525.47,1238.81,1310.14
9336,9343.99,524.47,1237.81,1309.14
9344,9359.99,523.47,1236.81,1308.14
9360,9383.99,522.47,1235.81,1307.14
9384,9391.99,521.47,1234.81,1306.14
9392,9407.99,520.47,1233.81,1305.14
9408,9431.99,519.47,1232.81,1304.14
9432,9439.99,518.47,1231.81,1303.14
9440,9455.99,517.47,1230.81,1302.14
9456,9479.99,516.47,1229.81,1301.14
9480,9487.99,515.47,1228.81,1300.14
9488,9503.99,514.47,1227.81,1299.14
9504,9527.99,513.47,1226.81,1298.14
9528,9535.99,512.47,1225.81,1297.14
9536,9551.99,511.47,1224.81,1296.14
9552,9575.99,510.47,1223.81,1295.14
9576,9583.99,509.47,1222.81,1294.14
9584,9599.99,508.47,1221.81,1293.14
9600,9623.99,507.47,1220.81,1292.14
9624,9631.99,506.47,1219.81,1291.14
9632,9647.99,505.47,1218.81,1290.14
9648,9671.99,504.47,1217.81,1289.14
9672,9679.99,503.47,1216.81,1288.14
